ProbeName,x,y,z
row-01 Mooring-01,188.51,100.078,47.0392
row-01 Mooring-02,189.769,137.652,47.428
row-01 Mooring-03,189.64,167.057,48.3144
row-01 Mooring-04,192.33,203.345,44.9148
row-01 Mooring-05,190.6,235.834,47.808
row-01 Mooring-06,190.977,267.757,47.0849
row-01 Mooring-07,191.101,302.858,45.3552
row-01 Mooring-08,189.234,333.944,49.1928
row-01 Mooring-09,190.085,370.023,47.4524
row-01 Mooring-10,190.283,402.998,46.7032
row-02 Mooring-01,375.782,100.28,49.2096
row-02 Mooring-02,377.81,133.615,47.7796
row-02 Mooring-03,378.474,167.429,46.7597
row-02 Mooring-04,377.132,200.098,48.6985
row-02 Mooring-05,379.181,235.509,47.1631
row-02 Mooring-06,378.657,270.828,47.2694
row-02 Mooring-07,376.8,303.087,47.9003
row-02 Mooring-08,377.271,335.934,46.3359
row-02 Mooring-09,376.932,370.986,45.6965
row-02 Mooring-10,378.878,400.488,47.3946
BuoyancyPod-01,191.171,104.54,54.3344
BuoyancyPod-02,189.651,175.54,52.0339
BuoyancyPod-03,190.969,252.585,50.5631
BuoyancyPod-04,192.226,325.716,52.2192
BuoyancyPod-05,191.421,402.797,51.5009
BuoyancyPod-06,378.528,137.523,52.0069
BuoyancyPod-07,375.547,216.333,54.1668
BuoyancyPod-08,376.95,291.744,52.0181
BuoyancyPod-09,377.955,367.084,51.9509
BuoyancyPod-10,189.797,54.9348,51.8022
BuoyancyPod-11,187.752,452.526,50.7013
BuoyancyPod-12,376.143,51.3571,51.3007
BuoyancyPod-13,379.171,450.504,50.4341
