WindSpeed_m/s,Power_Watts,ThrustCoefficient,RotorSpeed_rev/min
0.01,	     0,	          0,	0
0.50,	  9069,	0.769236084,	3.34
0.60,	 15671,	0.769396188,	4.01
0.70,	 24885,	0.769521534,	4.68
0.80,	 37146,	0.769621550,	5.35
0.90,	 52890,	0.769695233,	6.02
1.00,	 72551,	0.769223663,	6.68
1.10, 	 96566,	0.769323756,	7.35
1.20,	125368,	0.769400502,	8.02
1.30,	159395,	0.769468057,	8.69
1.40,	199080,	0.769527871,	9.36
1.50,	244860,	0.769578376,	10.03
1.60,	297169,	0.769621550,	10.70
1.70,	356444,	0.769349386,	11.36
1.80,	422574,	0.753010068,	11.50
1.90,	494001,	0.731012680,	11.50
2.00,	545101,	0.629577116,	11.50
2.10,	541377,	0.492780245,	11.50
2.20,	538518,	0.408811359,	11.50
2.30,	535701,	0.347053611,	11.50
2.40,	535425,	0.300476376,	11.50
2.50,	535155,	0.262903195,	11.50
2.60,	528464,	0.229243951,	11.50
2.70,	534537,	0.206190944,	11.50
2.80,	526646,	0.181936673,	11.50
2.90,	535569,	0.166343620,	11.50
3.00,	530329,	0.149075429,	11.50
4.00,	530329,	0.149075429,	11.50
