Wind-speed_m/s,Power_watts,Thrust-Ct
0.5,9069,0.7692360844
0.6,15671,0.7693961883
0.7,24885,0.7695215336
0.8,37146,0.7696215502
0.9,52890,0.7696952331
1,72551,0.7692236625
1.1,96566,0.769323756
1.2,125368,0.7694005015
1.3,159395,0.7694680571
1.4,199080,0.7695278713
1.5,244860,0.7695783756
1.6,297169,0.7696215502
1.7,356444,0.7693493855
1.8,422574,0.7530100684
1.9,494001,0.7310126801
2,545101,0.6295771156
2.1,541377,0.4927802448
2.2,538518,0.4088113592
2.3,535701,0.3470536105
2.4,535425,0.3004763757
2.5,535155,0.2629031951
2.6,528464,0.2292439509
2.7,534537,0.2061909435
2.8,526646,0.1819366732
2.9,535569,0.1663436196
3,530329,0.1490754285
10,530329,0.1490754285
