ProbeName,x,y,z
row-01 Mooring-01,188.587,101.545,45.7575
row-01 Mooring-02,188.201,134.345,46.0975
row-01 Mooring-03,189.368,167.395,44.8528
row-01 Mooring-04,188.726,200.913,46.0135
row-01 Mooring-05,187.996,234.124,45.4977
row-01 Mooring-06,188.26,267.67,46.1876
row-01 Mooring-07,188.907,300.468,45.6167
row-01 Mooring-08,188.632,334.326,45.1133
row-01 Mooring-09,188.889,367.504,45.4162
row-01 Mooring-10,188.43,400.348,45.667
row-02 Mooring-01,376.075,100.584,45.6772
row-02 Mooring-02,376.624,134.188,45.7151
row-02 Mooring-03,375.251,167.647,45.9865
row-02 Mooring-04,375.721,201.31,44.7729
row-02 Mooring-05,375.472,233.78,45.6883
row-02 Mooring-06,375.113,268.281,45.4469
row-02 Mooring-07,375.894,301.433,45.9556
row-02 Mooring-08,375.641,334.513,46.3251
row-02 Mooring-09,375.489,366.75,45.5778
row-02 Mooring-10,375.969,401.191,45.233
BuoyancyPod-01,188.274,101.359,50.9989
BuoyancyPod-02,188.461,176.255,50.8539
BuoyancyPod-03,188.476,251.056,50.9299
BuoyancyPod-04,189.108,326.607,50.2365
BuoyancyPod-05,187.974,400.943,50.8568
BuoyancyPod-06,375.677,138.565,50.8548
BuoyancyPod-07,376.391,213.29,50.2464
BuoyancyPod-08,375.593,288.403,51.0169
BuoyancyPod-09,376.061,362.928,50.4835
BuoyancyPod-10,188.476,51.7477,50.2306
BuoyancyPod-11,188.485,451.056,51.0597
BuoyancyPod-12,375.975,50.6729,51.4657
BuoyancyPod-13,376.246,450.549,51.605
