"Iteration","Thrust (row-1_turbine-1) Monitor: Thrust (row-1_turbine-1) Monitor (N)","Thrust (row-1_turbine-2) Monitor: Thrust (row-1_turbine-2) Monitor (N)","Thrust (row-1_turbine-3) Monitor: Thrust (row-1_turbine-3) Monitor (N)","Thrust (row-1_turbine-4) Monitor: Thrust (row-1_turbine-4) Monitor (N)","Thrust (row-1_turbine-5) Monitor: Thrust (row-1_turbine-5) Monitor (N)","Thrust (row-2_turbine-1) Monitor: Thrust (row-2_turbine-1) Monitor (N)","Thrust (row-2_turbine-2) Monitor: Thrust (row-2_turbine-2) Monitor (N)","Thrust (row-2_turbine-3) Monitor: Thrust (row-2_turbine-3) Monitor (N)","Thrust (row-2_turbine-4) Monitor: Thrust (row-2_turbine-4) Monitor (N)"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,117877.36982136931,98606.95624719736,102027.8520590991,102317.88338696279,117997.01626075525,69878.99118476606,55201.13205187669,55552.83434730768,70807.0115226319
3.0,146993.9283055431,113755.90827062812,117513.96146191069,115312.40581107349,147211.11062066673,92102.81966366354,65954.26919382386,66098.3180373417,92419.72521513587
4.0,171706.05664215967,131761.3173081716,133309.4740032014,131904.36236488094,172088.27096252822,109829.71020304266,76813.67176642481,77588.32925094178,110111.61653227214
5.0,191894.86442723242,149171.76825875623,149282.87451424636,149841.1446505735,193098.22050951028,115945.42380480331,84432.09088682804,85676.52215233377,116864.28362633199
6.0,206333.16654112915,163581.01336148,162863.6564423034,164295.67143985158,207525.9523565342,114752.74323958835,92272.1852123539,94206.09412860873,116167.02060838506
7.0,215112.09304811867,175950.46341902888,175048.8172419542,176606.1612478132,216274.255105104,108999.60900930146,100155.81152610926,103068.94827887777,110567.58211353415
8.0,221891.18485696818,187371.55025145857,186471.02054785215,188021.93989789902,222989.35853500164,104367.22697369006,111049.51863173468,114600.7264052256,105129.7396108603
9.0,227281.335650118,197729.3780115798,197083.24016772132,198426.3587682868,228282.19071171377,103482.33956930437,126048.47675111034,129676.89160228017,102964.09673652945
10.0,231106.4676558557,206929.05232430162,206474.02379276333,207572.81137841387,232001.08058710332,106726.3182593839,144541.35132581822,147772.7280917923,104751.03874736422
11.0,233415.4043737798,214452.91061618383,214045.34341749488,214970.30957016323,234253.8389264497,111516.6425591223,167022.4968126141,169328.31874090986,108270.49474219634
12.0,234045.0033608195,219918.4791537199,219431.1701586754,220306.72470117267,234815.8345903043,113867.219306526,192446.1072573447,193181.07540010283,109449.09230317743
13.0,233248.07972190494,223280.4809757169,222742.446210018,223560.05508288747,233988.3962364426,111212.359927808,218590.77313369434,217474.09867859812,105569.19300408487
14.0,231473.90719210537,224713.0104408379,224362.6339332288,224875.13436840274,232138.71388016685,104612.01238165065,241917.22977588786,239032.20928206513,98159.3065415044
15.0,228945.23860713135,224837.8195764238,224729.94373134512,224867.00024647004,229696.08803371832,97006.7922971799,257386.15704257466,253508.59098602372,90314.65129021596
16.0,225575.26961281447,223782.4928528451,223954.90339196956,223773.31411092763,226336.16421450872,91501.97719257374,262236.78925258364,258614.8843313087,85113.77877155047
17.0,222549.87613260574,222374.76352984156,222856.2463009996,222376.18959765031,223441.89375013558,89561.7139640856,259126.81458993471,257028.89110555954,83903.21880761387
