"Iteration","Torque (row-1_turbine-1) Monitor: Torque (row-1_turbine-1) Monitor (N-m)","Torque (row-1_turbine-2) Monitor: Torque (row-1_turbine-2) Monitor (N-m)","Torque (row-1_turbine-3) Monitor: Torque (row-1_turbine-3) Monitor (N-m)","Torque (row-1_turbine-4) Monitor: Torque (row-1_turbine-4) Monitor (N-m)","Torque (row-1_turbine-5) Monitor: Torque (row-1_turbine-5) Monitor (N-m)","Torque (row-2_turbine-1) Monitor: Torque (row-2_turbine-1) Monitor (N-m)","Torque (row-2_turbine-2) Monitor: Torque (row-2_turbine-2) Monitor (N-m)","Torque (row-2_turbine-3) Monitor: Torque (row-2_turbine-3) Monitor (N-m)","Torque (row-2_turbine-4) Monitor: Torque (row-2_turbine-4) Monitor (N-m)"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,56315.01619447034,43123.28871745548,45553.59120708371,45757.74915827409,56393.40116903957,25572.675842005243,18366.25329744517,18547.248832645804,26164.608087084744
3.0,78436.40709438497,53590.14862492078,56076.68895426316,54624.929257038704,78599.87109967213,38814.643049195074,23661.95689105311,23729.83419417729,38991.1423042947
4.0,53110.29487798064,66652.9035056642,67880.64993215122,66766.6456470857,52335.492014097865,50948.03107157615,29905.601864490083,30377.254442921112,51139.298107737915
5.0,13292.717920830686,80070.13957794454,80153.16573738724,80569.87526325285,11728.617288891232,55043.76719539221,34445.84990354141,35167.70205438341,55649.70196134868
6.0,13034.14609198827,69788.48648091355,71280.57783816272,68305.23871376073,13149.717928257898,54253.66762219499,38909.00820998555,39980.44194245095,55190.116712238174
7.0,13877.101166316696,44553.74859835898,46362.775583771305,43241.07367952003,13987.39137577352,50383.39479084252,44228.78263667723,46285.09425197945,51448.14235053763
8.0,14516.308045438738,22025.67884750372,23776.746497523927,20763.603774252377,14618.930745748876,47192.139127340466,51773.885630737524,54152.66825956773,47722.23912482793
9.0,15017.602629374138,12190.398738981774,12126.29862163137,12259.425265648919,15110.026362745122,46574.528178450055,62058.65076076791,64988.400297031825,46211.59062549851
10.0,15369.745022087245,13091.924566215934,13047.811471469224,13154.25141116976,15451.681237598299,48825.98609227353,76581.98698229047,79022.0175010873,47459.207078718246
11.0,15584.21876475119,13814.411545289462,13775.602780002568,13863.625390623049,15675.953573710378,52088.942443199296,62675.05533854042,57949.68050844352,49885.67207872743
12.0,15653.119850338531,14331.320852172072,14285.496437497837,14367.793395290584,15737.350645038507,53664.38406303848,12235.479575955746,11736.927320424915,50689.400223555946
13.0,15565.891699714393,14646.093247865869,14595.879246568846,14672.161573143054,15646.928766979132,51883.790889373806,14206.34929139098,14100.946715961876,48026.87398673031
14.0,15403.41742629768,14779.494506555464,14746.905870392871,14794.565097200208,15464.27280714823,47362.52494775357,16506.917442024296,16195.655097307666,42802.163028963274
15.0,15171.143680074616,14791.096899728343,14781.068832834604,14793.809101437,15240.24730994882,41972.00755473131,18145.029609118465,17739.14490950154,37812.98842953045
16.0,14859.585337631954,14692.89067787653,14708.950619701129,14692.03550972461,14930.13370876472,38479.17066079799,18648.48320485733,18273.00702569085,34841.927641867704
17.0,14577.892206029526,14561.529017436656,14606.505103189971,14561.662300697015,14661.14585001065,37388.26099501027,18326.23696785115,18107.761391076012,34137.45928929931
18.0,14348.035054855707,14445.797678415838,14514.970418348785,14444.119904353356,14436.754045428026,38340.73052869005,17447.590856837713,17403.35312928428,35490.907273898774
19.0,14160.247029393135,14341.115982499705,14422.392847838923,14340.479929248442,14249.722341463848,41152.63697965987,16349.636737902434,16492.485127021613,38490.54764903968
20.0,13974.594002637688,14235.95024555993,14331.951399532818,14237.67806938542,14063.273235492883,45879.70707930183,15445.634563429776,15696.124536209254,43219.28190276134
21.0,13825.111418291985,14155.844646667101,14264.864045511069,14156.93303673936,13913.078109914597,51622.15400879467,14956.878740462747,15256.969370252667,49406.484338778
22.0,13690.435704044017,14077.02320849535,14199.595828881975,14078.86107779822,13776.213552799407,57809.09836185846,14772.781872906688,15110.72247738099,55973.88872246837
23.0,13574.388973231642,14005.53700060886,14142.216402786591,14009.126166645518,13658.260380196574,65427.33920576655,14836.584846720638,15195.700286636853,63430.81227788321
